shipment_id,date,region,transport_mode,product_category,distance_km,shipment_volume_units,weight_kg,delivery_time_days,estimated_delivery_days,delay_days,transport_cost,on_time
S00001,2026-08-01,West,Road,Industrial,427.3,9.9,12.4,2.93,5.61,-2.68,214.35,1
S00002,2026-10-01,East,Road,Apparel,392.1,27.9,28.1,4.18,5.65,-1.48,284.84,1
S00003,2026-08-01,Central,Road,Industrial,745.4,33.3,42.4,3.23,5.29,-2.06,375.0,1
S00004,2026-08-01,West,Road,Furniture,1711.9,46.4,47.3,8.12,8.59,-0.46,716.08,1
S00005,2026-06-01,North,Rail,Electronics,499.9,14.2,20.7,4.16,5.68,-1.52,151.29,1
S00006,2026-03-01,Central,Road,Industrial,1128.7,36.7,64.5,6.31,5.96,0.36,520.2,0
S00007,2026-04-01,West,Sea,Grocery,306.5,48.6,84.8,4.27,6.89,-2.62,347.16,1
S00008,2026-09-01,West,Road,Electronics,139.8,6.9,10.7,3.91,4.4,-0.49,138.83,1
S00009,2026-01-01,North,Rail,Electronics,241.6,29.9,37.2,5.09,4.74,0.35,349.3,0
S00010,2026-02-01,East,Road,Furniture,319.5,37.5,54.3,5.22,5.04,0.19,303.05,0
S00011,2026-05-01,South,Rail,Electronics,1186.2,17.0,11.0,6.94,8.02,-1.08,261.71,1
S00012,2026-10-01,Central,Rail,Apparel,407.2,9.1,9.8,4.65,5.72,-1.06,163.32,1
S00013,2026-08-01,West,Road,Electronics,762.6,37.1,28.2,5.85,6.08,-0.23,365.58,1
S00014,2026-08-01,Central,Sea,Apparel,288.7,9.2,3.7,7.04,6.38,0.65,168.57,0
S00015,2026-07-01,East,Road,Apparel,264.1,17.9,31.4,2.08,4.44,-2.36,202.84,1
S00016,2026-02-01,South,Road,Grocery,103.2,19.6,31.5,2.95,5.1,-2.15,223.14,1
S00017,2026-04-01,East,Rail,Apparel,1163.4,32.0,35.8,10.74,8.02,2.72,324.06,0
S00018,2026-01-01,North,Air,Electronics,919.7,13.4,10.1,3.51,4.93,-1.41,372.45,1
S00019,2026-10-01,Central,Road,Grocery,456.0,12.9,17.6,1.6,4.72,-3.12,215.22,1
S00020,2026-10-01,West,Road,Apparel,332.7,21.4,21.6,3.7,4.29,-0.6,187.58,1
S00021,2026-04-01,West,Air,Furniture,417.6,38.6,58.9,0.7,4.26,-3.56,476.48,1
S00022,2026-04-01,South,Air,Electronics,135.0,88.8,159.9,2.88,3.23,-0.36,579.88,1
S00023,2026-04-01,Central,Sea,Electronics,535.2,7.5,6.7,6.8,6.88,-0.08,115.99,1
S00024,2026-11-01,Central,Road,Apparel,873.8,24.7,18.3,3.99,6.17,-2.18,366.43,1
S00025,2026-06-01,West,Rail,Apparel,900.7,9.9,7.7,6.21,7.12,-0.9,200.35,1
S00026,2026-10-01,South,Road,Apparel,107.1,38.9,20.7,5.25,4.34,0.91,226.91,0
S00027,2026-06-01,East,Sea,Furniture,758.2,10.9,10.4,4.72,7.93,-3.22,259.71,1
S00028,2026-09-01,North,Road,Apparel,135.8,13.0,5.5,1.63,3.83,-2.2,121.81,1
S00029,2026-07-01,North,Air,Grocery,53.6,13.7,7.7,1.16,2.62,-1.45,147.86,1
S00030,2026-04-01,West,Road,Grocery,775.9,19.1,14.9,4.71,6.27,-1.55,299.54,1
S00031,2026-11-01,West,Rail,Electronics,272.2,24.8,15.5,4.69,6.27,-1.58,248.34,1
S00032,2026-09-01,Central,Rail,Grocery,709.5,27.5,39.2,3.89,6.38,-2.49,318.53,1
S00033,2026-10-01,South,Road,Apparel,670.6,20.0,11.0,5.93,6.51,-0.58,260.03,1
S00034,2026-12-01,South,Sea,Apparel,618.2,8.5,13.6,6.93,7.63,-0.7,156.98,1
S00035,2026-03-01,East,Road,Electronics,414.2,32.2,22.9,5.04,5.17,-0.13,298.83,1
S00036,2026-02-01,South,Rail,Furniture,148.9,19.4,10.7,5.26,6.31,-1.05,208.19,1
S00037,2026-07-01,North,Road,Industrial,319.9,42.7,17.7,4.05,4.46,-0.41,292.3,1
S00038,2026-04-01,East,Road,Electronics,909.9,12.7,17.8,3.92,6.69,-2.77,374.79,1
S00039,2026-06-01,South,Road,Grocery,720.9,7.1,5.4,6.42,6.53,-0.11,209.12,1
S00040,2026-03-01,West,Road,Furniture,331.8,19.6,21.9,4.01,5.18,-1.18,234.24,1
S00041,2026-05-01,East,Road,Apparel,329.0,46.6,25.9,3.91,5.68,-1.77,317.93,1
S00042,2026-05-01,Central,Rail,Furniture,583.9,22.3,39.7,6.43,6.42,0.01,219.84,0
S00043,2026-05-01,West,Rail,Grocery,434.4,17.6,10.2,4.61,6.25,-1.64,174.87,1
S00044,2026-09-01,South,Rail,Industrial,343.9,11.4,11.1,7.24,6.36,0.88,134.1,0
S00045,2026-08-01,Central,Road,Industrial,553.2,63.0,100.3,6.04,4.59,1.46,513.61,0
S00046,2026-06-01,West,Road,Electronics,541.6,10.3,7.6,5.95,5.62,0.33,185.23,0
S00047,2026-02-01,South,Road,Apparel,246.6,12.5,9.7,3.26,5.34,-2.08,202.41,1
S00048,2026-07-01,South,Air,Grocery,492.4,29.1,44.6,0.83,4.69,-3.86,366.47,1
S00049,2026-03-01,West,Air,Electronics,520.7,6.0,4.7,4.69,4.42,0.27,237.99,0
S00050,2026-04-01,North,Road,Apparel,393.3,46.0,18.6,4.13,4.14,-0.01,347.95,1
S00051,2026-05-01,South,Rail,Industrial,227.3,30.1,30.1,4.3,6.42,-2.12,288.31,1
S00052,2026-02-01,North,Road,Electronics,313.0,36.0,15.0,5.24,4.42,0.81,307.3,0
S00053,2026-05-01,West,Road,Apparel,193.4,28.9,48.3,2.96,4.24,-1.28,267.48,1
S00054,2026-04-01,West,Road,Industrial,501.1,18.1,23.5,4.36,6.26,-1.9,209.05,1
S00055,2026-11-01,West,Road,Apparel,107.7,10.1,12.2,4.46,5.23,-0.78,103.86,1
S00056,2026-11-01,West,Rail,Grocery,967.1,18.3,12.5,5.59,7.82,-2.22,225.09,1
S00057,2026-01-01,East,Sea,Industrial,848.9,10.7,14.7,7.02,8.21,-1.19,243.48,1
S00058,2026-08-01,East,Road,Grocery,528.7,27.5,37.1,6.03,5.75,0.28,335.56,0
S00059,2026-08-01,North,Road,Electronics,694.9,33.9,16.4,5.09,6.23,-1.13,329.96,1
S00060,2026-05-01,North,Rail,Electronics,666.3,52.5,85.7,7.11,6.61,0.5,424.89,0
S00061,2026-06-01,West,Sea,Industrial,438.8,25.6,31.0,7.74,6.36,1.38,214.98,0
S00062,2026-10-01,East,Rail,Apparel,350.6,36.6,55.3,4.98,6.68,-1.7,284.45,1
S00063,2026-05-01,East,Road,Grocery,323.6,16.6,12.7,1.18,5.33,-4.15,228.4,1
S00064,2026-01-01,West,Rail,Electronics,988.8,14.7,8.4,5.66,7.49,-1.83,242.82,1
S00065,2026-05-01,West,Road,Apparel,221.1,27.3,37.8,5.07,4.3,0.77,333.97,0
S00066,2026-04-01,East,Sea,Industrial,224.5,15.6,23.6,3.49,6.38,-2.89,219.96,1
S00067,2026-05-01,East,Road,Grocery,733.0,23.9,22.5,4.83,5.8,-0.97,372.32,1
S00068,2026-03-01,South,Rail,Industrial,690.7,10.1,4.4,6.94,7.38,-0.44,219.2,1
S00069,2026-02-01,North,Road,Apparel,336.6,11.3,17.5,5.67,4.91,0.77,179.88,0
